dataset_name,column_name,data_type,total_rows,raw_missing_count,expected_missing_count,unexpected_missing_count,unique_count,completeness_score,validity_score,uniqueness_score,overall_quality_score,quality_status
customer,customer_id,object,1200,0,0,0,1200,100.0,100.0,100.0,100.0,Excellent
customer,customer_type,object,1200,0,0,0,2,100.0,100.0,100.0,100.0,Excellent
customer,full_name,object,1200,491,491,0,709,100.0,100.0,59.08,95.91,Excellent
customer,company_name,object,1200,709,709,0,491,100.0,100.0,40.92,94.09,Excellent
customer,industry_sector,object,1200,709,709,0,11,100.0,100.0,100.0,100.0,Excellent
customer,state,object,1200,0,0,0,16,100.0,100.0,100.0,100.0,Excellent
customer,district,object,1200,0,0,0,69,100.0,100.0,5.75,90.58,Excellent
customer,postcode,object,1200,0,0,0,1161,100.0,100.0,96.75,99.68,Excellent
customer,address,object,1200,0,0,0,1200,100.0,100.0,100.0,100.0,Excellent
customer,phone,object,1200,0,0,0,1200,100.0,100.0,100.0,100.0,Excellent
customer,email,object,1200,0,0,0,1200,100.0,100.0,100.0,100.0,Excellent
customer,subscription_plan,object,1200,0,0,0,12,100.0,100.0,100.0,100.0,Excellent
customer,subscription_start_date,datetime64[ns],1200,0,0,0,945,100.0,100.0,78.75,97.88,Excellent
customer,subscription_end_date,datetime64[ns],1200,900,0,900,287,25.0,25.0,23.92,24.89,Poor
customer,status,object,1200,0,0,0,4,100.0,100.0,100.0,100.0,Excellent
customer,payment_method,object,1200,0,0,0,5,100.0,100.0,100.0,100.0,Excellent
customer,billing_cycle,object,1200,0,0,0,3,100.0,100.0,100.0,100.0,Excellent
customer,preferred_language,object,1200,0,0,0,4,100.0,100.0,100.0,100.0,Excellent
customer,gender,object,1200,491,491,0,2,100.0,100.0,100.0,100.0,Excellent
customer,age,Int64,1200,491,491,0,58,100.0,59.08,4.83,72.07,Moderate
customer,income,object,1200,491,491,0,5,100.0,100.0,100.0,100.0,Excellent
customer,sme_flag,object,1200,709,709,0,2,100.0,100.0,100.0,100.0,Excellent
customer,nric,object,1200,491,491,0,709,100.0,100.0,59.08,95.91,Excellent
customer,kyc_status,object,1200,0,0,0,3,100.0,100.0,100.0,100.0,Excellent
billing,invoice_id,object,2500,0,0,0,2500,100.0,100.0,100.0,100.0,Excellent
billing,customer_id,object,2500,0,0,0,784,100.0,100.0,31.36,93.14,Excellent
billing,service_id,object,2500,0,0,0,1215,100.0,100.0,48.6,94.86,Excellent
billing,billing_period_start,datetime64[ns],2500,0,0,0,1571,100.0,100.0,62.84,96.28,Excellent
billing,billing_period_end,datetime64[ns],2500,0,0,0,1571,100.0,100.0,62.84,96.28,Excellent
billing,pricing_tier,object,2500,0,0,0,4,100.0,100.0,100.0,100.0,Excellent
billing,currency,object,2500,0,0,0,1,100.0,100.0,100.0,100.0,Excellent
billing,subtotal_amount,float64,2500,0,0,0,2447,100.0,100.0,97.88,99.79,Excellent
billing,discount_amount,float64,2500,0,0,0,1994,100.0,100.0,79.76,97.98,Excellent
billing,tax_amount,float64,2500,0,0,0,2029,100.0,100.0,81.16,98.12,Excellent
billing,total_amount,float64,2500,0,0,0,2472,100.0,100.0,98.88,99.89,Excellent
billing,payment_method,object,2500,0,0,0,5,100.0,100.0,100.0,100.0,Excellent
service,service_id,object,1500,0,0,0,1500,100.0,100.0,100.0,100.0,Excellent
service,customer_id,object,1500,0,0,0,866,100.0,100.0,57.73,95.77,Excellent
service,service_category,object,1500,0,0,0,7,100.0,100.0,100.0,100.0,Excellent
service,service_status,object,1500,0,0,0,4,100.0,100.0,100.0,100.0,Excellent
service,region,object,1500,0,0,0,6,100.0,100.0,100.0,100.0,Excellent
service,access_technology,object,1500,0,0,0,4,100.0,100.0,100.0,100.0,Excellent
service,router_model,object,1500,0,0,0,5,100.0,100.0,100.0,100.0,Excellent
service,device_os,object,1500,0,0,0,6,100.0,100.0,100.0,100.0,Excellent
service,sla_tier,object,1500,0,0,0,4,100.0,100.0,100.0,100.0,Excellent
service,service_start_date,datetime64[ns],1500,0,0,0,1142,100.0,100.0,76.13,97.61,Excellent
service,service_end_date,datetime64[ns],1500,1399,0,1399,100,6.73,6.73,6.67,6.73,Poor
service,bandwidth_mbps,int64,1500,0,0,0,6,100.0,100.0,0.4,90.04,Excellent
service,monthly_usage_gb,int64,1500,0,0,0,982,100.0,100.0,65.47,96.55,Excellent
service,avg_latency_ms,int64,1500,0,0,0,136,100.0,100.0,9.07,90.91,Excellent
service,jitter_ms,int64,1500,0,0,0,30,100.0,100.0,2.0,90.2,Excellent
service,monthly_outages,int64,1500,0,0,0,7,100.0,100.0,0.47,90.05,Excellent
